raw_brand_value,script,product_count,normalized_value,method,cluster_id,proposed_canonical_slug,proposed_canonical_display,cluster_min_confidence,needs_review,reviewer_decision,notes
Tresemme,latin,46,tresemme,singleton,,tresemme,Tresemme,100.0,False,,
الويز,arabic,46,الويز,singleton,,brand_863d3ac724,الويز,100.0,False,,
اڤانتى,arabic,46,اڤانتي,singleton,,brand_3eb32af4b4,اڤانتى,100.0,False,,
بيبيتو,arabic,46,بيبيتو,singleton,,brand_e0af786914,بيبيتو,100.0,False,,
تريسيمى,arabic,46,تريسيمي,singleton,,brand_56b01be583,تريسيمى,100.0,False,,
شهد,arabic,46,شهد,singleton,,brand_669c3a1d44,شهد,100.0,False,,
كادبري,arabic,46,كادبري,singleton,,brand_1e5a5c5e3e,كادبري,100.0,False,,
Danone,latin,45,danone,singleton,,danone,Danone,100.0,False,,
Dina Farms,latin,45,dina farms,singleton,,dina_farms,Dina Farms,100.0,False,,
Vaseline,latin,45,vaseline,singleton,,vaseline,Vaseline,100.0,False,,
Zeina,latin,45,zeina,singleton,,zeina,Zeina,100.0,False,,
دانون,arabic,45,دانون,singleton,,brand_536961161a,دانون,100.0,False,,
دينا فارمس,arabic,45,دينا فارمس,singleton,,brand_c82aa4663d,دينا فارمس,100.0,False,,
زينة,arabic,45,زينة,singleton,,brand_05446a9d50,زينة,100.0,False,,
ڤازلين,arabic,45,ڤازلين,singleton,,brand_dd1e7ac17e,ڤازلين,100.0,False,,
Domty,latin,44,domty,fuzzy_cluster,c1,domtty,Domtty,90.9,True,approve,
Renol,latin,44,renol,singleton,,renol,Renol,100.0,False,,
Touch,latin,44,touch,singleton,,touch,Touch,100.0,False,,
Wadi Food,latin,44,wadi food,singleton,,wadi_food,Wadi Food,100.0,False,,
دومتى,arabic,44,دومتي,singleton,,brand_5774669ab3,دومتى,100.0,False,,
وادى فود,arabic,44,وادي فود,singleton,,brand_7301ab9828,وادى فود,100.0,False,,
Clear,latin,43,clear,singleton,,clear,Clear,100.0,False,,
El Bawadi,latin,43,el bawadi,singleton,,el_bawadi,El Bawadi,100.0,False,,
Fine,latin,43,fine,singleton,,fine,Fine,100.0,False,,
Galaxy,latin,43,galaxy,singleton,,galaxy,Galaxy,100.0,False,,
Kenwood,latin,43,kenwood,singleton,,kenwood,Kenwood,100.0,False,,
Vitrac,latin,43,vitrac,singleton,,vitrac,Vitrac,100.0,False,,
البوادى,arabic,43,البوادي,singleton,,brand_b57988977b,البوادى,100.0,False,,
جلاكسي,arabic,43,جلاكسي,fuzzy_cluster,c30,brand_8283b444e1,جلاكسي,90.9,True,approve,
